kab_asal,kab_tujuan,jarak_meter,jarak_km,waktu_detik,waktu_menit
Kabupaten Kediri,Kabupaten Pasuruan,117113.7,117.11,5752.3,95.9
Kabupaten Kediri,Kabupaten Ponorogo,96616.5,96.62,5178.7,86.3
Kabupaten Kediri,Kabupaten Probolinggo,196827.2,196.83,9238.6,154.0
Kabupaten Kediri,Kabupaten Sampang,195442.0,195.44,9042.0,150.7
Kabupaten Kediri,Kabupaten Sidoarjo,117108.4,117.11,5583.2,93.1
Kabupaten Kediri,Kabupaten Situbondo,269381.1,269.38,12402.6,206.7
Kabupaten Kediri,Kabupaten Sumenep,281478.7,281.48,12947.8,215.8
Kabupaten Kediri,Kabupaten Trenggalek,81117.2,81.12,4232.4,70.5
Kabupaten Kediri,Kabupaten Tuban,123515.8,123.52,6559.9,109.3
Kabupaten Kediri,Kabupaten Tulungagung,48755.6,48.76,2821.8,47.0
Kabupaten Kediri,Kota Batu,88883.8,88.88,5547.3,92.5
Kabupaten Kediri,Kota Blitar,62126.2,62.13,3953.5,65.9
Kabupaten Kediri,Kota Kediri,19198.0,19.2,1454.8,24.2
Kabupaten Kediri,Kota Madiun,67860.3,67.86,3982.2,66.4
Kabupaten Kediri,Kota Malang,108634.9,108.63,6764.0,112.7
Kabupaten Kediri,Kota Mojokerto,73778.8,73.78,3857.5,64.3
Kabupaten Kediri,Kota Pasuruan,133031.0,133.03,6443.6,107.4
Kabupaten Kediri,Kota Probolinggo,169244.6,169.24,8036.3,133.9
Kabupaten Kediri,Kota Surabaya,115248.6,115.25,5462.4,91.0
Kabupaten Lamongan,Kabupaten Lumajang,187253.9,187.25,8404.1,140.1
Kabupaten Lamongan,Kabupaten Madiun,171711.2,171.71,8601.1,143.4
Kabupaten Lamongan,Kabupaten Magetan,172911.0,172.91,8679.3,144.7
Kabupaten Lamongan,Kabupaten Malang,151857.6,151.86,6775.8,112.9
Kabupaten Lamongan,Kabupaten Mojokerto,66089.5,66.09,3241.6,54.0
Kabupaten Lamongan,Kabupaten Nganjuk,109655.4,109.66,5748.8,95.8
Kabupaten Lamongan,Kabupaten Ngawi,136957.0,136.96,6545.8,109.1
Kabupaten Lamongan,Kabupaten Pacitan,277975.4,277.98,12952.5,215.9
Kabupaten Lamongan,Kabupaten Pamekasan,157565.2,157.57,7076.9,117.9
Kabupaten Lamongan,Kabupaten Pasuruan,90281.0,90.28,4256.6,70.9
Kabupaten Lamongan,Kabupaten Ponorogo,194099.6,194.1,9462.2,157.7
Kabupaten Lamongan,Kabupaten Probolinggo,169994.5,169.99,7742.9,129.0
Kabupaten Lamongan,Kabupaten Sampang,124152.4,124.15,5717.3,95.3
Kabupaten Lamongan,Kabupaten Sidoarjo,67578.4,67.58,3128.8,52.1
Kabupaten Lamongan,Kabupaten Situbondo,245647.9,245.65,10876.7,181.3
Kabupaten Lamongan,Kabupaten Sumenep,210189.2,210.19,9623.1,160.4
Kabupaten Lamongan,Kabupaten Trenggalek,176888.2,176.89,8552.4,142.5
Kabupaten Lamongan,Kabupaten Tuban,56410.3,56.41,2502.4,41.7
Kabupaten Lamongan,Kabupaten Tulungagung,144526.6,144.53,7141.8,119.0
